logistic_region,origin_uuid,origin_name,origin_latitude,origin_longitude,Pedidos
ABC,de3beebb-65e6-47e6-afd8-c1efc7f9395f,CARREFOUR HIPER - ORATORIO,-23.64625,-46.526795,2280
ABC,93eb0dad-ba9a-4b13-94ec-6215eac43ece,CARREFOUR HIPER - SANTO ANDRE,-23.660138,-46.510439,1564
ABC,691bc714-9bce-4242-86e3-e7308ba564a6,LOPES SUPERMERCADOS - SANTO ANDRE,-23.624969,-46.520888,1563
ABC,38c2136e-4453-41d1-87aa-1649f776cf8f,BARBOSA - JD. PEDREIRA,-23.696116,-46.668686,1499
ABC,f66d3974-df3f-4bee-bff9-74e92d19464a,ATACADAO SAO CAETANO DO SUL,-23.619092,-46.58118,1499
ABC,6b57c1e0-6db6-4f24-ae18-0b2c153945b2,CARREFOUR HIPER - PAULICEIA,-23.655305,-46.595304,1490
ABC,ba5952a4-65da-4547-8f74-7e41be696c1c,ASSAI - ANCHIETA,-23.668609,-46.573722,1371
ABC,8117040a-5d8e-41c5-84ea-b200e50ec53c,NAGUMO EXPRESS - SOLAR - STO ANDRE,-23.69295,-46.505938,1364
ABC,bfe446ef-b4e7-4603-a1da-6b29b24882fc,LOPES SUPERMERCADOS - SBC,-23.703771,-46.576628,1274
ABC,1dad87e9-ef46-4b03-af53-c4f81f962818,SUPERMERCADO CLUB DE CAMPO - CLUBAO,-23.699532,-46.609233,1268
ABC,6e4f304f-7635-4462-897d-c436142fb91b,SUPERMERCADO NAGUMO - S. ANDRE CENTRO,-23.668326,-46.519722,1250
ABC,edd84804-38a6-48c8-accc-65228af47ab2,CARREFOUR HIPER - SAO CAETANO,-23.610744,-46.563902,1245
ABC,ae5d37d6-469e-403b-87b9-962e187d4ce0,ATACADAO SAO BERNARDO CENTRO,-23.722321,-46.547749,1207
ABC,784b0198-d8dc-4b0a-9e41-e39203102071,CARREFOUR BAIRRO - SAO BERNARDO,-23.712147,-46.542367,1189
ABC,628de69d-515e-48f6-b503-7693bd711f08,PAO DE ACUCAR - SAO CAETANO,-23.620943,-46.563986,1101
ABC,9bc17691-87a1-421b-a7f5-7f9e5673b394,CARREFOUR HIPER - SAO BERNARDO,-23.676374,-46.554708,1034
ABC,37d435d8-71cf-4ae6-9951-39ff6e86d865,ATACADAO DIADEMA CUPECE,-23.685313,-46.63292,1014
ABC,a51ff874-ff1b-4c48-a9e8-5dfc5c82dd9c,NAGUMO EXPRESS - CAMILOPOLIS,-23.620863,-46.528771,1010
ABC,8be71b70-6cb5-4133-a6ba-a9ba266ef506,EXTRA TABOAO,-23.669521,-46.610139,944
ABC,13f0dc99-d0c0-4066-89b4-948396ef1491,D’AVO SUPERMERCADOS – SBC,-23.7072,-46.53455,930
ABC,502f9c96-3250-4788-90f6-ab689d42e841,CARREFOUR HIPER - SANTO ANDRE SHOPPING,-23.669627,-46.535781,927
ABC,88117a06-0f8d-4bf7-a0bf-028296b43484,ATACADAO - SANTO ANDRE CAPUAVA,-23.658515,-46.500987,921
ABC,a4677032-40d7-495a-9e8f-2fb52a66ec7a,BIG BY CARREFOUR SAO CAETANO,-23.610744,-46.563902,915
ABC,54e305b4-6027-487d-b7e7-e0dbf5ea4ea2,BIG BY CARREFOUR - PAULICEIA,-23.655305,-46.595304,896
ABC,41aa0cdd-53e8-4b99-a107-fcf041577324,CARREFOUR HIPER - SBC DEMARCHI,-23.727119,-46.552018,886
ABC,02bed07a-a98a-4462-af2a-845be8c87e90,BIG BY CARREFOUR - SAO BERNARDO DEMARCHI,-23.727119,-46.552018,825
ABC,e78bbcbe-431e-45a0-8953-bcc9911083c6,ROLDAO STO ANDRE II (JOAO RAMALHO),-23.651162,-46.511764,804
ABC,dbd749e3-dbfd-40e3-bf9d-45224d42aa50,EXTRA SAO BERNARDO,-23.741808,-46.555312,802
ABC,a08d8a1c-ec64-4dd1-820a-52c782d8eb7f,PAO DE ACUCAR - SAO BERNARDO,-23.705241,-46.550105,800
ABC,d2a167bf-1328-41c1-bc02-12c417e727ca,BARBOSA - SAO BERNARDO DO CAMPO,-23.698679,-46.565428,797
ABC,946c2417-6071-411c-ba99-64aebdddb8a5,EXTRA SANTA TEREZINHA,-23.632337,-46.530517,792
ABC,357ce640-b156-4300-8bca-4e3f6c3e58ae,BIG BY CARREFOUR - SANTO ANDRE,-23.660428,-46.510302,777
ABC,b5ee86b9-859f-413f-b03f-1ca6e4c08cc2,ATACADAO - DIADEMA CANHEMA,-23.681843,-46.605543,749
ABC,c97c5de2-5ba6-4696-9d48-c3a0dd760910,COOP - CAPUAVA,-23.640564,-46.499324,738
ABC,2ab57695-fb08-4868-b1cf-d31e017d7811,COOP - JOAQUIM NABUCO,-23.714891,-46.55343,735
ABC,ce58d8c6-bd67-4c85-a943-ddd3719ab1fb,ROLDAO SANTO ANDRE I,-23.66255,-46.512428,676
ABC,a4871963-bcdf-474f-ae2f-e50c07c55c4f,EXTRA PIRAPORINHA,-23.690514,-46.580224,670
ABC,3ac7c838-8fb0-4a03-a839-44879b3de869,ROLDAO SAO BERNARDO DO CAMPO,-23.67198,-46.577485,669
ABC,8ed50eef-ca53-4c00-bb76-55cbae890f45,COOP - INDUSTRIAL,-23.639405,-46.539807,612
ABC,a48de97d-0c25-4e5d-a812-e0164f754418,JOANIN - LOJA 01 - OSWALDO CRUZ,-23.62865,-46.567283,604
ABC,f826085c-5c4d-4bbc-a892-6f0b30363ac4,RICOY - DIADEMA 39,-23.669048,-46.611203,602
ABC,f70deec8-984e-4baa-bde3-010feb8feb57,JOANIN - LOJA 03 - NOVA GERTY,-23.639754,-46.5669,584
ABC,9d912186-6537-40ce-baaa-aa3eb422330a,BIG BY CARREFOUR - SANTO ANDRE SHOPPING,-23.669627,-46.535781,576
ABC,e6c8c562-2ed3-4bd5-9c52-4fc0e00c200c,ATACADAO SAO BERNARDO PIRAPORINHA,-23.691061,-46.574574,545
ABC,571e3e23-5283-457a-a465-ce6e7e35b4c2,JOANIN - LOJA 21 - STA TEREZINHA,-23.723601,-46.534692,539
ABC,a255e9ec-dbbd-4820-97f9-d10dcdf1083f,JOANIN - LOJA 09 - ASSUNCAO,-23.720775,-46.564557,529
ABC,68b15719-17db-462f-a5ac-fcada217aa34,EXTRA RUDGE RAMOS,-23.65523,-46.572024,522
ABC,ccfb9702-759d-4358-bee4-371fc9bc9fe8,EXTRA CASTELO BRANCO,-23.723994,-46.578604,508
ABC,a0c83219-49a8-4b96-b0fb-2c0d92b85efc,MAX ATACADISTA SANTO ANDRE,-23.655359,-46.508301,499
ABC,28502d58-ae42-43ff-a83a-83fc3232813f,VENCEDOR ATACADISTA 107,-23.625054,-46.497651,491
ABC,80bb1385-ba1a-4eb8-aae4-cdb793bfe573,EXTRA VILA GILDA,-23.672549,-46.540074,489
ABC,43577947-c940-4d0b-8f8c-0bc64879a559,MINI EXTRA - DIADEMA,-23.693614,-46.618146,483
ABC,6d284bd1-eef8-477e-b545-e6b14bebf442,COOP - VILA LUZITA,-23.698259,-46.50641,472
ABC,ef289fc3-fd12-4368-9bcc-b01aadc01025,PAO DE ACUCAR - FRESH,-23.619253,-46.570796,464
ABC,e95edd0b-47e5-4fa3-aa3b-2cba21576d49,ATACADAO SANTO ANDRE CENTRO,-23.656405,-46.522546,464
ABC,333f20cf-3e8f-467e-8ef0-d19dde68964f,COOP - GIOVANNI PIRELLI,-23.665366,-46.491821,437
ABC,4c4f48bd-eedb-44be-bd3d-100f46c359f1,EXTRA - BOA VISTA,-23.642815,-46.560732,434
ABC,f741f425-e883-4543-8cf3-98f828e99ed0,BIG BY CARREFOUR SAO BERNARDO,-23.676595,-46.55408,430
ABC,819b35d1-ae83-413d-bcf8-714a8c566ec6,JOANIN - LOJA 12 - DIADEMA,-23.700212,-46.61127,401
ABC,c30e3ac3-8ce4-49d7-9da3-fb53f71bca50,PAO DE ACUCAR - FIGUEIRAS,-23.648637,-46.540189,397
ABC,ec6275d2-9528-49a5-bc62-421cbbd1ea30,OBA HORTIFRUTI - SANTO ANDRE,-23.653867,-46.533109,389
